state,id
California,904
Washington,423
Oregon,277
Michigan,270
Colorado,247
New York,223
Ohio,210
Pennsylvania,181
Wisconsin,176
North Carolina,174
Texas,171
Illinois,161
Florida,161
Missouri,130
Virginia,127
Minnesota,120
Massachusetts,97
Iowa,92
Indiana,85
Arizona,74
Tennessee,71
Maine,66
Idaho,59
Montana,56
New Jersey,55
Georgia,53
New Mexico,53
Alaska,53
New Hampshire,50
Maryland,48
Nebraska,48
Kentucky,46
Connecticut,43
South Carolina,42
South Dakota,40
Oklahoma,39
Wyoming,37
Alabama,37
West Virginia,36
Utah,35
Arkansas,30
Rhode Island,29
Kansas,29
Nevada,28
North Dakota,25
Vermont,25
Louisiana,24
Hawaii,21
Delaware,16
Mississippi,13
District of Columbia,11
Washington ,1
 Utah,1
