Jurisdiction,Excise Tax Per Gallon
Alabama,1.05
Alaska,1.07
Arizona,0.16
Arkansas,0.24
California,0.20
Colorado,0.08
Connecticut,0.24
Delaware,0.26
District of Columbia,0.09
Florida,0.48
Georgia,1.01
Hawaii,0.93
Idaho,0.15
Illinois,0.23
Indiana,0.12
Iowa,0.19
Kansas,0.18
Kentucky,0.08
Louisiana,0.40
Maine,0.35
Maryland,0.09
Massachusetts,0.11
Michigan,0.20
Minnesota,0.15
Mississippi,0.43
Missouri,0.06
Montana,0.14
Nebraska,0.31
Nevada,0.16
New Hampshire,0.30
New Jersey,0.12
New Mexico,0.41
New York,0.14
North Carolina,0.62
North Dakota,0.16
Ohio,0.18
Oklahoma,0.40
Oregon,0.08
Pennsylvania,0.08
Rhode Island,0.11
South Carolina,0.77
South Dakota,0.27
Tennessee,1.29
Texas,0.19
United States,0.58
Utah,0.42
Vermont,0.27
Virginia,0.28
Washington,0.76
West Virginia,0.18
Wisconsin,0.06
Wyoming,0.02
